厄	✍4	中学	UNLUCKY	misfortune, bad luck, disaster	ヤク		厄介 (やっかい) - trouble<br>災厄 (さいやく) - calamity<br>厄払い (やくはらい) - exorcism
双	✍4	中学	PAIR	set, comparison, counter for pairs	ソウ	ふた　たぐい　ならぶ　ふたつ	双方 (そうほう) - two way<br>無双 (むそう) - peerless<br>双子 (そうし) - twins
介	✍4	中学	JAMMED IN	shellfish, mediate, concern oneself with	カイ		紹介 (しょうかい) - introduction<br>介護 (かいご) - nursing<br>介する (かいする) - to use as an intermediary
孔	✍4	中学	CAVITY	hole, slit, very, great, exceedingly	コウ	あな	孔子 (こうし) - Confucius<br>瞳孔 (どうこう) - pupil<br>気孔 (きこう) - pore
屯	✍4	中学	BARRACKS	police station, camp, ton	トン	たむろ	駐屯地 (ちゅうとんち) - garrison<br>駐屯 (ちゅうとん) - stationing (troops)<br>屯する (たむろする) - to gather in large numbers (of people)
幻	✍4	中学	PHANTASM	vision, dream, illusion, apparition	ゲン	まぼろし	幻想的 (げんそうてき) - fantastic<br>幻想 (げんそう) - illusions<br>幻滅 (げんめつ) - disillusionment
弔	✍4	中学	CONDOLENCES	mourning, funeral	チョウ	とむら.う　とぶら.う	弔辞 (ちょうじ) - message of condolence<br>弔問 (ちょうもん) - condolence call<br>弔う (とぶらう) - to mourn for
斗	✍4	中学	BIG DIPPER	ten sho (vol), sake dipper, dots and cross radical (no. 68)	ト　トウ		泰斗 (たいと) - a great authority<br>漏斗胸 (ろうときょう) - funnel chest<br>北斗星 (ほくとせい) - the Great Bear
斤	✍4	中学	AXE	1.32 lb, catty, counter for loaves of bread, axe radical (no. 69)	キン		斤量 (きんりょう) - weight<br>斧斤 (ふきん) - axe<br>斤目 (きんめ) - weight
爪	✍4	中学	CLAW	nail, talon	ソウ	つめ　つま-	爪先 (つまさき) - toes<br>爪楊枝 (つまようじ) - toothpick<br>爪切り (つめきり) - nail clippers
牙	✍5	中学	TUSK	fang, tusk radical (no. 92)	ガ　ゲ	きば　は	牙城 (がじょう) - stronghold (esp. of an enemy or opponent)<br>毒牙 (どくが) - poison fang<br>牙竜 (がりゅう) - dragon's fang
且	✍5	中学	MOREOVER	also, furthermore	ショ　ソ　ショウ	か.つ	且つ (かつ) - yet<br>尚且つ (なおかつ) - besides<br>苟且 (かりそめ) - temporary
丘	✍5	中学	HILL	knoll	キュウ	おか	丘陵 (きゅうりょう) - hill<br>砂丘 (さきゅう) - sand dune<br>墳丘 (ふんきゅう) - tumulus
丙	✍5	中学	THIRD CLASS	3rd, 3rd calendar sign	ヘイ	ひのえ	甲乙丙 (こうおつへい) - ABC<br>丙種 (へいしゅ) - C-grade
丼	✍5	中学	BOWL	bowl of food	トン　タン　ショウ　セイ	どんぶり	牛丼 (ぎゅうどん) - rice covered with beef and vegetables<br>カツ丼 (カツどん) - katsudon<br>親子丼 (おやこどん) - chicken and egg on rice
巨	✍5	中学	GIGANTIC	big, large, great	キョ		巨大 (きょだい) - huge<br>巨人 (きょじん) - giant<br>巨額 (きょがく) - great sum
仙	✍5	中学	HERMIT	wizard, cent	セン　セント		仙台 (せんだい) - Sendai (city)<br>仙人 (せんにん) - immortal mountain wizard (in Taoism)<br>仙術 (せんじゅつ) - wizardry
凹	✍5	中学	CONCAVE	hollow, sunken	オウ	くぼ.む　へこ.む　ぼこ	凹凸 (おうとつ) - unevenness<br>凹み (くぼみ) - hollow<br>凸凹 (だくぼく) - unevenness
凸	✍5	中学	CONVEX	beetle brow, uneven	トツ	でこ	凹凸 (おうとつ) - unevenness<br>凸凹 (だくぼく) - unevenness<br>凸版 (とっぱん) - letterpress
占	✍5	中学	FORTUNE-TELLING	divining, forecasting, occupy, hold, have, get, take	セン	し.める　うらな.う	占める (しめる) - to occupy<br>独占 (どくせん) - monopoly<br>占めた (しめた) - I've got it
叱	✍5	中学	SCOLD	reprove	シツ　シチ	しか.る	叱る (しかる) - to scold<br>叱り (しかり) - scolding<br>叱咤 (しった) - scolding
召	✍5	中学	SEDUCE	call, send for, wear, put on, ride in, buy, eat, drink, catch (cold)	ショウ	め.す	召集 (しょうしゅう) - convening<br>召喚 (しょうかん) - summons<br>召し (めし) - summons
囚	✍5	中学	CAPTURED	criminal, arrest, catch	シュウ	とら.われる	死刑囚 (しけいしゅう) - criminal condemned to death<br>囚われ (とらわれ) - imprisonment<br>囚人 (しゅうじん) - prisoner
奴	✍5	中学	GUY	slave, manservant, fellow	ド	やつ　やっこ	奴隷 (どれい) - slave<br>奴ら (やつら) - they<br>奴等 (やつら) - they
尻	✍5	中学	BUTTOCKS	hips, butt, rear	コウ	しり	お尻 (おしり) - bottom<br>塩尻 (しおじり) - cone-shaped<br>尻尾 (しっぽ) - tail (animal)
尼	✍5	中学	NUN		ニ	あま	尼僧 (にそう) - nun<br>尼寺 (あまでら) - nunnery<br>陀羅尼 (だらに) - dharani
巧	✍5	中学	ADROIT	skilled, ingenuity	コウ	たく.み　たく.む　うま.い	巧み (たくみ) - skill<br>巧妙 (こうみょう) - ingenious<br>技巧 (ぎこう) - technique
払	✍5	中学	PAY	clear out, prune, banish, dispose of	フツ　ヒツ　ホツ	はら.う　-はら.い　-ばら.い	支払い (しはらい) - payment<br>支払 (しはらい) - payment<br>支払う (しはらう) - to pay
氾	✍5	中学	SPREAD OUT	wide	ハン	ひろ.がる	氾濫 (はんらん) - overflowing
汁	✍5	中学	SOUP	juice, broth, sap, gravy, pus	ジュウ	しる　-しる　つゆ	味噌汁 (みそしる) - miso soup<br>みそ汁 (みそしる) - miso soup<br>果汁 (かじゅう) - fruit juice
込	✍5	中学	CROWDED	mixture, in bulk, included, kokuji		-こ.む　こ.む　こ.み　-こ.み　こ.める	込み (こみ) - including<br>税込 (ぜいこみ) - tax included (e.g., price)<br>見込み (みこみ) - hope
斥	✍5	中学	REJECT	retreat, recede, withdraw, repel, repulse	セキ	しりぞ.ける	排斥 (はいせき) - rejection<br>斥力 (せきりょく) - repulsion<br>斥候 (せっこう) - scout
旦	✍5	中学	DAYBREAK	dawn, morning	タン　ダン	あき.らか　あきら　ただし　あさ　あした	旦那 (だんな) - master (of a house, shop, etc.)<br>一旦 (いったん) - once<br>元旦 (がんたん) - New Year's Day
玄	✍5	中学	MYSTERIOUS	occultness	ゲン		玄関 (げんかん) - entranceway<br>玄米 (くろごめ) - unpolished rice<br>玄関口 (げんかんぐち) - entrance door
瓦	✍5	中学	TILE	gram	ガ	かわら　ぐらむ	瓦屋根 (かわらやね) - tiled roof<br>瓦礫 (がりゃく) - rubble<br>煉瓦 (れんが) - brick
甘	✍5	中学	SWEET	coax, pamper, be content, sugary	カン	あま.い　あま.える　あま.やかす　うま.い	甘い (あまい) - sweet-tasting<br>甘え (あまえ) - lack of self-reliance<br>甘み (あまみ) - sweetness
甲	✍5	中学	ARMOR	high (voice), A grade, first class, former, instep, carapace	コウ　カン	きのえ	甲斐 (かい) - effect<br>甲状腺 (こうじょうせん) - thyroid gland<br>甲冑 (かっちゅう) - armor and helmet (armour)
矛	✍5	中学	HALBERD	arms, festival float	ム　ボウ	ほこ	矛盾 (むじゅん) - contradiction<br>矛先 (ほこさき) - point of spear<br>相矛盾 (あいむじゅん) - mutually contradictory
伎	✍6	中学	DEED	skill	ギ　キ	わざ　わざおぎ	歌舞伎 (かぶき) - kabuki<br>伎楽 (ぎがく) - ancient music<br>伎芸 (ぎげい) - art of kabuki
仰	✍6	中学	FACE-UP	look up, depend, seek, respect, rever, drink, take	ギョウ　コウ	あお.ぐ　おお.せ　お.っしゃる　おっしゃ.る	信仰 (しんこう) - faith<br>仰る (おっしゃる) - to say<br>大仰 (おおぎょう) - exaggeration
伐	✍6	中学	FELL	strike, attack, punish	バツ　ハツ　カ　ボチ	き.る　そむ.く　う.つ	伐採 (ばっさい) - lumbering<br>間伐 (かんばつ) - periodic thinning (e.g., forest)<br>間伐材 (かんばつざい) - timber from forest thinning
伏	✍6	中学	PROSTRATED	bend down, bow, cover, lay (pipes)	フク	ふ.せる　ふ.す	伏線 (ふくせん) - preparation<br>起伏 (きふく) - undulation<br>潜伏 (せんぷく) - concealment
充	✍6	中学	ALLOT	fill	ジュウ	あ.てる　み.たす	充実 (じゅうじつ) - fullness<br>充分 (じゅうぶん) - plenty<br>拡充 (かくじゅう) - expansion
刑	✍6	中学	PUNISH	penalty, sentence, punishment	ケイ		刑事 (けいじ) - detective<br>求刑 (きゅうけい) - recommended sentence<br>死刑 (しけい) - death penalty
劣	✍6	中学	INFERIORITY	be inferior to, be worse	レツ	おと.る	劣化 (れっか) - deterioration<br>劣る (おとる) - to be inferior to<br>劣勢 (れっせい) - inferiority (e.g., numerical)
