入	✍2	小1	ENTER	insert	ニュウ　ジュ	い.る　-い.る　-い.り　い.れる　-い.れ　はい.る	入れ (いれ) - container<br>入り (いり) - entering<br>購入 (こうにゅう) - purchase
年	✍6	小1	YEAR	counter for years	ネン	とし	昨年 (さくねん) - last year<br>今年 (ことし) - this year<br>年間 (ねんかん) - year (period of)
白	✍5	小1	WHITE		ハク　ビャク	しろ　しら-　しろ.い	面白い (おもしろい) - interesting<br>面白 (おもしろ) - amusing<br>白い (しろい) - white
八	✍2	小1	EIGHT	eight radical (no. 12)	ハチ	や　や.つ　やっ.つ　よう	八幡 (はちまん) - Hachiman (God of War)<br>八千代 (やちよ) - eternity<br>八重 (やえ) - multilayered
百	✍6	小1	HUNDRED		ヒャク　ビャク	もも	百貨店 (ひゃっかてん) - store<br>五百 (いお) - 500<br>数百 (すうひゃく) - several hundreds
文	✍4	小1	SENTENCE	literature, style, art, decoration, figures, plan, literary radical (no. 67)	ブン　モン	ふみ　あや	文化 (ぶんか) - culture<br>文字 (もじ) - letter (of alphabet)<br>文章 (ぶんしょう) - sentence
木	✍4	小1	TREE	wood	ボク　モク	き　こ-	高木 (こうぼく) - tall tree<br>青木 (あおき) - Japanese laurel<br>本木 (もとき) - original stock
本	✍5	小1	BOOK	present, main, origin, true, real, counter for long cylindrical things	ホン	もと	日本 (にっぽん) - Japan<br>本の (ほんの) - mere<br>本当に (ほんとうに) - really
名	✍6	小1	NAME	noted, distinguished, reputation	メイ　ミョウ	な　-な	名前 (なまえ) - name<br>名古屋 (なごや) - Nagoya (city)<br>有名 (ゆうめい) - famous
目	✍5	小1	EYE	class, look, insight, experience, care, favor	モク　ボク	め　-め　ま-	注目 (ちゅうもく) - notice<br>目指す (めざす) - to aim at<br>目標 (めじるし) - mark
