占	✍5	中学	FORTUNE-TELLING	divining, forecasting, occupy, hold, have, get, take	セン	し.める　うらな.う	占める (しめる) - to occupy<br>占領 (せんりょう) - occupation<br>独占 (どくせん) - monopoly
叱	✍5	中学	SCOLD	reprove	シツ　シチ	しか.る	叱咤 (しった) - scolding<br>叱る (しかる) - to scold<br>叱責 (しっせき) - reprimand
召	✍5	中学	SEDUCE	call, send for, wear, put on, ride in, buy, eat, drink, catch (cold)	ショウ	め.す	召集 (しょうしゅう) - convening<br>召す (めす) - to call<br>召喚 (しょうかん) - summons
囚	✍5	中学	CAPTURED	criminal, arrest, catch	シュウ	とら.われる	死刑囚 (しけいしゅう) - criminals condemned to death<br>囚人 (しゅうじん) - prisoner<br>服役囚 (ふくえきしゅう) - convict
奴	✍5	中学	GUY	slave, manservant, fellow	ド	やつ　やっこ	奴隷 (どれい) - slave<br>売国奴 (ばいこくど) - traitor (to one's country)<br>農奴 (のうど) - serf
尻	✍5	中学	BUTTOCKS	hips, butt, rear	コウ	しり	川尻 (かわじり) - mouth of a river<br>塩尻 (しおじり) - cone-shaped<br>尻尾 (しっぽ) - tail (animal)
尼	✍5	中学	NUN		ニ	あま	尼僧 (にそう) - nun<br>尼寺 (あまでら) - nunnery<br>陀羅尼 (だらに) - dharani
巧	✍5	中学	ADROIT	skilled, ingenuity	コウ	たく.み　たく.む　うま.い	巧み (たくみ) - skill<br>巧妙 (こうみょう) - ingenious<br>技巧 (ぎこう) - technique
払	✍5	中学	PAY	clear out, prune, banish, dispose of	フツ　ヒツ　ホツ	はら.う　-はら.い　-ばら.い	支払う (しはらう) - to pay<br>支払い (しはらい) - payment<br>払い (はらい) - payment
氾	✍5	中学	SPREAD OUT	wide	ハン	ひろ.がる	氾濫 (はんらん) - overflowing
汁	✍5	中学	SOUP	juice, broth, sap, gravy, pus	ジュウ	しる　-しる　つゆ	みそ汁 (みそしる) - miso soup<br>果汁 (かじゅう) - fruit juice<br>胆汁 (たんじゅう) - bile
込	✍5	中学	CROWDED	mixture, in bulk, included, kokuji		-こ.む　こ.む　こ.み　-こ.み　こ.める	込む (こむ) - to be crowded<br>見込み (みこみ) - hope<br>見込む (みこむ) - to anticipate
斥	✍5	中学	REJECT	retreat, recede, withdraw, repel, repulse	セキ	しりぞ.ける	排斥 (はいせき) - rejection<br>斥候 (せっこう) - scout<br>斥力 (せきりょく) - repulsion
旦	✍5	中学	DAYBREAK	dawn, morning	タン　ダン	あき.らか　あきら　ただし　あさ　あした	旦那 (だんな) - master (of a house, shop, etc.)<br>若旦那 (わかだんな) - young master<br>元旦 (がんたん) - New Year's Day
玄	✍5	中学	MYSTERIOUS	occultness	ゲン		玄関 (げんかん) - entranceway<br>玄米 (くろごめ) - unpolished rice<br>玄人 (くろうと) - expert
瓦	✍5	中学	TILE	gram	ガ	かわら　ぐらむ	瓦解 (がかい) - collapse<br>瓦礫 (がりゃく) - rubble<br>煉瓦 (れんが) - brick
甘	✍5	中学	SWEET	coax, pamper, be content, sugary	カン	あま.い　あま.える　あま.やかす　うま.い	甘い (あまい) - sweet-tasting<br>甘える (あまえる) - to behave like a spoiled child<br>甘え (あまえ) - lack of self-reliance
甲	✍5	中学	ARMOR	high (voice), A grade, first class, former, instep, carapace	コウ　カン	きのえ	甲子 (かっし) - first of the sexagenary cycle<br>装甲 (そうこう) - armored<br>甲斐 (かい) - effect
矛	✍5	中学	HALBERD	arms, festival float	ム　ボウ	ほこ	矛盾 (むじゅん) - contradiction<br>矛先 (ほこさき) - point of spear
伎	✍6	中学	DEED	skill	ギ　キ	わざ　わざおぎ	歌舞伎 (かぶき) - kabuki<br>伎楽 (ぎがく) - ancient music
仰	✍6	中学	FACE-UP	look up, depend, seek, respect, rever, drink, take	ギョウ　コウ	あお.ぐ　おお.せ　お.っしゃる　おっしゃ.る	信仰 (しんこう) - faith<br>仰ぐ (あおぐ) - to look up (at)<br>仰天 (ぎょうてん) - being amazed
伐	✍6	中学	FELL	strike, attack, punish	バツ　ハツ　カ　ボチ	き.る　そむ.く　う.つ	伐採 (ばっさい) - lumbering<br>間伐 (かんばつ) - periodic thinning (e.g., forest)<br>乱伐 (らんばつ) - reckless deforestation
伏	✍6	中学	PROSTRATED	bend down, bow, cover, lay (pipes)	フク	ふ.せる　ふ.す	伏せる (ふせる) - to lay something upside down<br>降伏 (こうふく) - capitulation<br>潜伏 (せんぷく) - concealment
充	✍6	中学	ALLOT	fill	ジュウ	あ.てる　み.たす	充実 (じゅうじつ) - fullness<br>充てる (あてる) - to assign<br>拡充 (かくじゅう) - expansion
刑	✍6	中学	PUNISH	penalty, sentence, punishment	ケイ		刑事 (けいじ) - detective<br>死刑 (しけい) - death penalty<br>求刑 (きゅうけい) - recommended sentence
劣	✍6	中学	INFERIORITY	be inferior to, be worse	レツ	おと.る	劣る (おとる) - to be inferior to<br>劣勢 (れっせい) - inferiority (e.g., numerical)<br>劣化 (れっか) - deterioration
匠	✍6	中学	ARTISAN	workman, carpenter	ショウ	たくみ	師匠 (ししょう) - master<br>巨匠 (きょしょう) - master<br>意匠 (いしょう) - design
企	✍6	中学	UNDERTAKE	scheme, design, attempt, plan	キ	くわだ.てる　たくら.む	企業 (きぎょう) - enterprise<br>企画 (きかく) - planning<br>大企業 (だいきぎょう) - large company
吉	✍6	中学	GOOD LUCK	joy, congratulations	キチ　キツ	よし	諭吉 (ゆきち) - 10,000 yen note<br>吉兆 (きっちょう) - lucky omen<br>大吉 (だいきち) - excellent luck
