口	✍3	小1	MOUTH		コウ　ク	くち	人口 (じんこう) - population<br>窓口 (まどぐち) - ticket window<br>口座 (こうざ) - account (e.g., bank)
校	✍10	小1	EXAM	school, printing, proof, correction	コウ　キョウ		学校 (がっこう) - school<br>高校 (こうこう) - senior high school<br>小学校 (しょうがっこう) - primary school
左	✍5	小1	LEFT		サ　シャ	ひだり	左右 (さう) - left and right<br>左翼 (さよく) - left-wing<br>左派 (さは) - left wing
三	✍3	小1	THREE		サン　ゾウ	み　み.つ　みっ.つ	三月 (さんがつ) - March<br>三人 (さんにん) - three people<br>三十日 (さんじゅうにち) - thirtieth day of the month
山	✍3	小1	MOUNTAIN		サン　セン	やま	山梨 (やまなし) - wild nashi (Pyrus pyrifolia var. pyrifolia)<br>山形 (やまがた) - mountain-shape<br>青山 (あおやま) - lush mountain
子	✍3	小1	CHILD	sign of the rat, 11PM-1AM, first sign of Chinese zodiac	シ　ス　ツ	こ　-こ　ね	子供 (こども) - child<br>女子 (おなご) - woman<br>男子 (だんし) - youth
四	✍5	小1	FOUR		シ	よ　よ.つ　よっ.つ　よん	四月 (しがつ) - April<br>四球 (しきゅう) - four balls<br>四つ (よっつ) - four
糸	✍6	小1	THREAD		シ	いと	糸口 (いとぐち) - thread end<br>毛糸 (けいと) - knitting wool<br>撚糸 (ねんし) - twisted thread or yarn
字	✍6	小1	CHARACTER	letter, word, section of village	ジ	あざ　あざな　-な	赤字 (あかじ) - deficit<br>数字 (すうじ) - numeral<br>黒字 (くろじ) - balance (figure) in the black
耳	✍6	小1	EAR		ジ	みみ	牛耳る (ぎゅうじる) - to control<br>寝耳 (ねみみ) - something heard while sleeping<br>耳目 (じぼく) - eye and ear
七	✍2	小1	SEVEN		シチ	なな　なな.つ　なの	七月 (しちがつ) - July<br>七つ (ななつ) - seven<br>七夕 (しちせき) - Festival of the Weaver (July 7th)
